ItemID,Sentiment,SentimentText
14451,Positive,...but at least i'm ticket free 
44754,Negative,@annzoo I want to go shopping too 
11659,Negative,#TwitHive seems to be a cool Twitter App. Looks like  the small TweetDeck Web Edition ... cant yet upload images  http://twithive.com
6122,Negative, sad miles didn't win that oneee
71396,Positive,@BrianConn thanks for the invite!  I'm off into town to try Peter Marks for the bi-annual shearing... enjoy the afternoon! 
49243,Positive,@Amanda_vdGulik They're going to need to know how to SPELL money first   (www.LaughNYC.com)
32091,Positive,@afinefrenzy: i love your tweets.   when does the new album come out??
99095,Negative,@craigelder proof reading Defra Greener Living Fund bid - only a Govt dept could have a grant application deadline this close to Easter 
87533,Positive,"@avrilchan that is of course, u don't mind some old ppl as well "
61290,Negative,@BijanStacks for a meeting 
4587,Negative, science day pssssh!
54726,Negative,"@AyeshaM13 you're busy with your show.  I miss you, and I want you home now."
61101,Positive,@BeverlyBurger No it's me!! I love you more than you'! 
33133,Positive,"@alison7553 &amp; I still miss youuu. JB's new cd comes out at midnight, buy it in tennesseeeeeee, "
97843,Positive,@colm_hastings 
59550,Negative,"@bethdoe yes, at 11pm! and we start again at 2pm "
30193,Positive,@adammshankman So jealous! I have loved her ever since her Living Single days. A nice positive role model! 
38578,Positive,"@ammii wow, you're up early  are you done with your report ?"
25032,Negative,@49ermommy i missed pantsless skype again? 
10507,Negative,"&quot;there's only 2 cant in this company; cant do, cant stay!&quot; my boss .. "
36342,Negative,"@AlexAllTimeLow Anxiety is the worst  Well, the sickness that comes from the anxiety is the worst! Feel better darling!"
43845,Negative,"@annaliese_sarah haha we're doing this play Educating Rita. So lame  for trials we got to know 4 essays and 1 story, its torture! lol"
77247,Positive,"@CATCHmetal Yes, USA "
83503,Positive,@aslanenlisted you are horrible! Makes me question my love for an insensitive Dork like you. Hehe! 
90099,Negative,"@babygirlparis oh, really. i live in australia so i didnt hear about it .. sad to hear  hope everything is okay."
55264,Positive,@barihouse what's up stranger? Mercy Me is rocking out to so long self and i'm tweetin' 
81740,Positive,"@Carolinaxoxo yess she even told us, A DURF "
99248,Positive,@CrazyCatLadie I so know what that's like. Hang in there. 
61606,Positive,@BillyBush  Nice Show Billy .. Music is anice play 2 b WPLJ ev night 9-Mid Nyc.. thnx 4putting me on too!  I do love  Team Speidi n  Roker
7927,Negative,#SanctuarySunday we're not in the top right now 
86106,Negative,@chrismwarren  I wish i was there !!!
79253,Positive,"@cemiess ive seen this comparison, thanks again. im a designer so i'm looking for something i could go with without any hardcode work "
59879,Positive,@BellaMarieUK And good morning to you! JG and MR were just babies back then! Loved that clip 
5712,Positive,#goodsex is when his intentional training of your kegels has you spray ejaculate all over him when you cum.  yummy!
70092,Positive,@AndrewBarber Prodigy are great  I'm putting that one on now...
5134,Positive, you make me happy.
93508,Positive,@cookiedorksx3 I'm doing great! 
2476,Negative, just walked in on boyfriend trying to hang himself.  he's okay.
9759,Positive,"&quot;from my lungs to yours, from your mouth to mine.&quot; Sometimes I wish I can write beautiful lyrics like he does  goodnight."
51122,Positive,"@ashleighdodgson excuse me! i am not mean, im just not entirely nice "
79744,Positive,@CandaceKuss I caught a glimpse of Bo on Friday 
12800,Positive,"&quot;fame is simply an imbalance between inbound and outbound attention&quot;, den gillade jag "
62715,Negative,@blickbuster apparenty will be 6pm 
56594,Negative,@beachbassbone: roomie was home all day. All he had to do was scratch at the door. Comforter has to goto large laundromat machines. 
77665,Positive,@cattymac thats the one i think i have... put it on last night... they feel so much better today .. thanks lady  x
52287,Positive,"@avalanchelynn hello you  na its just right this time of year not to hot and not to cold, but soon will be freezing "
