Sentiment,CleanedText
Positive,"['least', 'im', 'ticket', 'free']"
Negative,"['want', 'go', 'shopping']"
Negative,"['seem', 'cool', 'twitter', 'app', 'look', 'like', 'small', 'tweetdeck', 'web', 'edition', 'cant', 'yet', 'upload', 'image']"
Negative,"['sad', 'mile', 'didnt', 'win', 'oneee']"
Positive,"['thanks', 'invite', 'im', 'town', 'try', 'peter', 'mark', 'biannual', 'shear', 'enjoy', 'afternoon']"
Positive,"['theyre', 'go', 'need', 'know', 'spell', 'money', 'first', 'wwwlaughnyccom']"
Positive,"['love', 'tweet', 'new', 'album', 'come']"
Negative,"['proof', 'reading', 'defra', 'greener', 'living', 'fund', 'bid', 'govt', 'dept', 'could', 'grant', 'application', 'deadline', 'close', 'easter']"
Positive,"['course', 'u', 'dont', 'mind', 'old', 'ppl', 'well']"
Negative,['meeting']
Negative,"['science', 'day', 'pssssh']"
Negative,"['youre', 'busy', 'show', 'miss', 'want', 'home']"
Positive,['love']
Positive,"['amp', 'still', 'miss', 'youuu', 'jbs', 'new', 'cd', 'come', 'midnight', 'buy', 'tennesseeeeeee']"
Positive,[]
Negative,"['yes', 'pm', 'start', 'pm']"
Positive,"['jealous', 'love', 'ever', 'since', 'living', 'single', 'day', 'nice', 'positive', 'role', 'model']"
Positive,"['wow', 'youre', 'early', 'do', 'report']"
Negative,"['miss', 'pantsless', 'skype']"
Negative,"['quottheres', 'cant', 'company', 'cant', 'cant', 'stayquot', 'bos']"
Negative,"['anxiety', 'bad', 'well', 'sickness', 'come', 'anxiety', 'bad', 'feel', 'well', 'darling']"
Negative,"['haha', 'play', 'educate', 'rita', 'lame', 'trial', 'get', 'know', 'essay', 'story', 'torture', 'lol']"
Positive,"['yes', 'usa']"
Positive,"['horrible', 'make', 'question', 'love', 'insensitive', 'dork', 'like', 'hehe']"
Negative,"['oh', 'really', 'live', 'australia', 'didnt', 'hear', 'sad', 'hear', 'hope', 'everything', 'okay']"
Positive,"['whats', 'stranger', 'mercy', 'rock', 'long', 'self', 'im', 'tweetin']"
Positive,"['yes', 'even', 'told', 'u', 'durf']"
Positive,"['know', 'thats', 'like', 'hang']"
Positive,"['nice', 'show', 'billy', 'music', 'anice', 'play', 'b', 'wplj', 'ev', 'night', 'mid', 'nyc', 'thnx', 'put', 'love', 'team', 'speidi', 'n', 'roker']"
Negative,"['top', 'right']"
Negative,['wish']
Positive,"['ive', 'see', 'comparison', 'thanks', 'im', 'designer', 'im', 'look', 'something', 'could', 'go', 'without', 'hardcode', 'work']"
Positive,"['good', 'morning', 'jg', 'mr', 'baby', 'back', 'love', 'clip']"
Positive,"['intentional', 'training', 'kegels', 'spray', 'ejaculate', 'cum', 'yummy']"
Positive,"['prodigy', 'great', 'im', 'put', 'one']"
Positive,"['make', 'happy']"
Positive,"['im', 'great']"
Negative,"['walk', 'boyfriend', 'try', 'hang', 'he', 'okay']"
Positive,"['quotfrom', 'lung', 'mouth', 'minequot', 'sometimes', 'wish', 'write', 'beautiful', 'lyric', 'like', 'goodnight']"
Positive,"['excuse', 'mean', 'im', 'entirely', 'nice']"
Positive,"['caught', 'glimpse', 'bo', 'friday']"
Positive,"['quotfame', 'simply', 'imbalance', 'inbound', 'outbound', 'attentionquot', 'den', 'gillade', 'jag']"
Negative,"['apparenty', 'pm']"
Negative,"['roomie', 'home', 'day', 'scratch', 'door', 'comforter', 'goto', 'large', 'laundromat', 'machine']"
Positive,"['thats', 'one', 'think', 'put', 'last', 'night', 'feel', 'much', 'well', 'today', 'thanks', 'lady', 'x']"
Positive,"['hello', 'na', 'right', 'time', 'year', 'hot', 'cold', 'soon', 'freeze']"
Positive,"['guy', 'amaze', 'look', 'forward', 'see', 'congrats', 'new', 'record']"
Negative,"['sigh', 'busy', 'weeked', 'mean', 'youre', 'till', 'next', 'monday']"
Positive,"['loser', 'donates', 'charity', 'sings', 'public', 'could', 'get', 'interest', 'fast']"
Negative,"['consider', 'lose', 'business', 'remove', 'krisflyer', 'gold', 'clubhouse', 'welcome', 'list', 'business', 'go', 'united']"
Positive,[]
Positive,"['get', 'boot', 'didnt', 'renew', 'name', 'source']"
Positive,"['might', 'get', 'one', 'one', 'day', 'thing', 'hog', 'moment']"
Positive,"['ahh', 'fine', 'sweetie', 'lol']"
Negative,"['u', 'bring', 'like']"
Positive,[]
Negative,"['awe', 'one', 'didnt', 'think', 'job', 'go', 'big', 'turn', 'learn', 'lesson']"
Positive,"['didnt', 'ask', 'would', 'post', 'quiet', 'thought', 'snore', 'away', 'next']"
Positive,"['haha', 'yes', 'good', 'thing', 'hopefully', 'get', 'like', 'ninety', 'hows', 'photo', 'go']"
Positive,"['sky', 'sport', 'free']"
Negative,"['awww', 'leavinqq', 'ima', 'miss', 'yuu']"
Positive,"['sure', 'make', 'one', 'time']"
Positive,"['good', 'choice', 'default', 'pic', 'chino', 'hahahahhaa', 'know', 'favorite', 'pic', 'big', 'ol', 'baby']"
Positive,"['x', 'duct', 'tape']"
Negative,"['friend', 'near', 'shop', 'scar', 'go', 'like', 'wtf', 'shes', 'dikheaddddd']"
Positive,"['ahaha', 'let', 'high', 'five', 'as', 'please', 'go', 'bed']"
Negative,"['yumm', 'love', 'pie', 'really', 'want', 'cam', 'phone', 'upgrade', 'month', 'phone', 'want', 'wout', 'one']"
Negative,"['dont', 'swine', 'flu', 'watch', 'time']"
Positive,"['map', 'use', 'bird', 'eye', 'view', 'closeup', 'image', 'year', 'old', 'still', 'see', 'stephanie', 'back', 'yard']"
Positive,"['amp', 'la', 'crook', 'familia', 'follow', 'theyre', 'as', 'nigguhs', 'free', 'hope', 'get', 'artwork', 'soon', 'haha']"
Negative,"['hey', 'im', 'song', 'writer', 'idea', 'hav', 'block']"
Negative,"['give', 'lot', 'water', 'suck']"
Negative,"['quoti', 'would', 'die', 'would', 'die', 'rather', 'betray', 'friendsquot', 'oh', 'sirius', 'black', 'love']"
Positive,"['amen', 'sisterwhat', 'blessing']"
Positive,"['hahaha', 'sorry', 'found', 'funny']"
Positive,"['wow', 'ill', 'love', 'hot', 'guy', 'spam']"
Positive,"['good', 'facebook', 'photo', 'tag', 'skill', 'dude', 'forgot', 'look', 'bit', 'dafft', 'dont', 'ah', 'puntastic']"
Negative,"['oh', 'thats', 'good', 'bad', 'thanks', 'altho', 'want', 'go', 'work']"
Negative,"['friend', 'haha']"
Negative,"['least', 'know', 'reply', 'ppl', 'u']"
Positive,"['really', 'proud', 'polish', 'talk', 'representation']"
Negative,"['dont', 'call', 'baby', 'anymore']"
Positive,"['many', 'time', 'ask', 'say', 'hope', 'enjoy', 'botcon']"
Positive,"['thank', 'much', 'ill', 'look', 'resource']"
Positive,"['eat', 'food', 'hahaha']"
Positive,"['mr', 'bank', 'bad', 'man', 'need', 'talk', 'later', 'ill', 'dm', 'get', 'home']"
Negative,"['okay', 'marley', 'amp', 'good', 'make', 'want', 'get', 'dog']"
Negative,['wish']
Negative,"['extremely', 'sad', 'im', 'jealous']"
Positive,"['start', 'w', 'something', 'new']"
Negative,"['thing', 'benes', 'come', 'pre', 'tax', 'earnings', 'left', 'card', 'home']"
Positive,"['yahhh', 'follow', 'thanks', 'follow', 'awesome', 'even', 'alexa']"
Positive,"['yup', 'youve', 'lose', 'mind', 'crazier', 'im', 'way', 'gym', 'go', 'u']"
Negative,"['im', 'hungry', 'im', 'scar', 'eat', 'cause', 'im', 'bloat']"
Positive,"['yeah', 'thats', 'pain', 'say', 'get', 'well', 'go', 'live']"
Positive,"['best', 'wish', 'li']"
Positive,['hiiii']
Positive,"['im', 'love', 'haha', 'thats', 'awesome']"
Positive,"['however', 'willing', 'learn', 'visit', 'place', 'ppl']"
Negative,"['well', 'theyre', 'call', 'tstorms', 'around']"
Positive,"['happy', 'birthday']"
Negative,"['bummer', 'lol', 'well', 'like', 'mostly', 'listen', 'alternativerocktechnohouseect', 'much', 'rap', 'one', 'like']"
Negative,"['yes', 'lol', 'cause', 'early', 'lol', 'time']"
Positive,"['always', 'go', 'funny', 'guy']"
Negative,['tooooo']
Negative,"['find', 'donate', 'magazine', 'way', 'many', 'go', 'give', 'rest', 'home', 'close']"
Positive,"['may', 'get', 'desperate', 'enough', 'drive', 'altamonte', 'yet']"
Positive,"['thanks', 'alot', 'hope', 'help', 'spread', 'word', 'get', 'people', 'involve', 'already', 'make', 'real', 'difference']"
Positive,"['nearly', 'do', 'yknow', 'werent', 'soapy', 'id', 'definitely', 'sweaty', 'hard', 'work', 'worth']"
Negative,"['might', 'stalk', 'afternoon', 'im', 'bit', 'bore']"
Positive,"['lol', 'tell', 'u', 'goin', 'thereso', 'bust', 'ya', 'as', 'online', 'lol']"
Negative,"['quoti', 'wanna', 'set', 'one', 'friend', 'cant', 'see', 'date', 'anyone', 'yourselfquot', 'guess', 'come', 'vain']"
Negative,"['miss', 'x']"
Positive,"['oh', 'checked', 'back', 'either', 'tomorrow', 'wed', 'cross', 'finger', 'tomorrow']"
Positive,"['trashy', 'sensationalistso', 'yes']"
Positive,"['hey', 'brandi', 'wonderin', 'miley', 'germany', 'please', 'reply', 'love', 'natalie', 'april', 'xoxo']"
Negative,"['okey', 'ahh', 'u', 'r', 'idiot']"
Positive,"['morning', 'way']"
Negative,"['heywhats', 'n', 'fren', 'r', 'havin', 'fun', 'tryin', 'talk', 'u', 'thomas', 'n', 'eric', 'call', 'eric', 'didnt', 'answer', 'bad', 'p', 'wb', 'plz']"
Negative,"['good', 'mr', 'c', 'tho']"
Negative,"['hard', 'tell', 'imitates', 'dimensional', 'aspect', 'similarity', 'come', 'ui', 'chinese']"
Negative,"['yep', 'dont', 'want', 'think', 'right', 'dont', 'drink', 'need', 'alcohol', 'sleep', 'numb', 'pain']"
Negative,"['really', 'need', 'im', 'tire', 'nowww']"
Negative,"['still', 'think', 'still', 'traumatize', 'death', 'camera']"
Negative,"['sprain', 'ankle', 'pretty', 'badly', 'ughhh']"
Negative,"['unfortunately', 'job', 'supply', 'neither']"
Negative,"['know', 'hella', 'suck', 'ruin', 'year', 'want', 'see', 'badly']"
Negative,['know']
Positive,"['raeredeyes', 'moment', 'lovely', 'still', 'luv', 'ya', 'though']"
Positive,"['omgggggggggggggggggggggggggggggggggggggggggggggggggggggggggthats', 'babyy']"
Negative,"['kind', 'cloudy', 'rainy', 'stop', 'soon', 'gonna', 'go', 'pairasailing', 'ur', 'air']"
Positive,"['lol', 'bad', 'thing', 'verbally', 'talk']"
Negative,"['must', 'lol', 'xx']"
Positive,"['ill', 'atlantic', 'city', 'philly', 'week', 'weekend']"
Positive,"['location', 'job', 'right', 'home']"
Negative,"['take', 'brenda', 'quizcored']"
Negative,"['come', 'facebook', 'chat', 'window', 'wont', 'open', 'opera']"
Positive,['tell']
Positive,"['anks', 'follow']"
Positive,"['drop', 'help', 'wireless', 'sg', 'starbucks']"
Positive,"['already', 'improve', 'thx', 'chi', 'b', 'new', 'blind', 'morning', 'footy', 'arv', 'dinner', 'tonight', 'u', 'want', 'share', 'cab']"
Positive,"['btw', 'thanks', 'mention']"
Negative,"['sigh', 'brandy', 'followin']"
Negative,"['awww', 'quick', 'trip', 'poop']"
Negative,"['get', 'tweet', 'mixed', 'today', 'sorry', 'hope', 'u', 'r', 'well', 'julia', 'smile', 'lovely', 'smile', 'usual']"
Positive,"['savannah', 'cute', 'wanna', 'see', 'video', 'blog']"
Positive,"['hello', 'squarespace', 'monday', 'drag', 'right', 'nowhow', 'monday']"
Positive,"['dont', 'still', 'love', 'meni', 'share', 'toy']"
Negative,"['tomorrow', 'last', 'day', 'spring', 'break', 'im', 'huge', 'fan', 'ireland', 'way', 'awesome', 'actress', 'singer']"
Negative,"['still', 'busy', 'set', 'didnt', 'say', 'hi', 'didnt', 'get', 'back']"
Negative,"['def', 'want', 'discus', 'saw', 'tonighti', 'keep', 'miss', 'callstexts', 'due', 'lack', 'reception', 'aunt', 'house']"
Negative,"['follow', 'im', 'friend', 'less', 'lol']"
Negative,"['thats', 'annoy', 'sorry']"
Positive,['go']
Positive,"['oops', 'sorry', 'didnt', 'reply', 'hahaha', 'yeah', 'bought', 'black', 'shoe', 'na', 'theyre', 'kinda', 'loose', 'though', 'haha', 'bought', 'na']"
Negative,"['exactly', 'leave', 'transport', 'tlaking', 'go', 'even', 'shit', 'place', 'find', 'crash']"
Negative,"['hey', 'girlie', 'miss', 'u', 'today', 'u', 'coulda', 'finally', 'met', 'quotkiequot', 'lol']"
Positive,"['congrats', 'al', 'new', 'state', 'senator', 'elect', 'democrat', 'mark', 'keahey']"
Negative,"['kid', 'bring', 'muffin', 'haha']"
Negative,"['sorry', 'carmis', 'loss', 'im', 'sure', 'shamus', 'greatly', 'miss']"
Positive,"['apology', 'belated', 'reply', 'sequin', 'feather', 'bouffant', 'yes', 'youre', 'set', 'send', 'pic']"
Negative,"['lt', 'hungry', 'crave', 'chicken', 'noodle', 'soup', 'soup', 'general', 'think', 'lot', 'dreary', 'weather', 'wa']"
Positive,"['im', 'ready', 'help', 'get', 'pool', 'ready']"
Negative,"['follow', 'get', 'one']"
Negative,"['quotyou', 'seem', 'like', 'interest', 'attractive', 'geeky', 'redheadquot', 'dont', 'even', 'red', 'hair', 'muppet']"
Negative,"['bet', 'miss', 'haha', 'feel', 'like', 'gotten', 'big', 'fast', 'need', 'little', 'chelsea']"
Positive,"['good', 'old', 'friday', 'night', 'piss']"
Negative,"['omg', 'want', 'see', 'paris', 'far', 'home']"
Negative,"['would', 'awesome', 'could', 'make', 'sonoma', 'ac', 'id', 'love', 'take', 'monday', 'watch', 'unfortunatley', 'cant']"
Negative,"['slept', 'till', 'well', 'never']"
Negative,"['yeah', 'look', 'like', 'sprinkle', 'cupcake']"
Positive,"['baha', 'im', 'love', 'hilarious', 'tweet', 'everyone', 'send', 'site']"
Positive,"['oh', 'know', 'say', 'wasnt', 'real', 'house', 'picture', 'real', 'house', 'woo']"
Negative,"['lol', 'yea', 'babe', 'thats', 'crazy', 'dont', 'stress', 'tho', 'thats', 'good', 'u', 'make', 'sure', 'follow', 'babe', 'amp', 'il', 'def', 'follow', 'u']"
Negative,"['omg', 'im', 'jealous', 'babysitter', 'part', 'though', 'lol']"
Negative,"['realllllyyyyyy', 'already', 'get', 'set', 'random', 'drug', 'test', 'well', 'see', 'go']"
Positive,"['fun', 'art', 'project']"
Positive,"['wow', 'congratulation']"
Positive,"['already', 'three', 'open', 'low', 'take', 'shirt', 'middle', 'covent', 'gardenonly', 'trash']"
Negative,"['kate', 'crazy', 'biatchh', 'jon', 'dead', 'beat', 'dad', 'kid', 'mess', 'adopt', 'maybe', 'angelina']"
Positive,"['good', 'nite', 'chema']"
Negative,"['oh', 'thats', 'good', 'water']"
Positive,"['excite', 'new', 'moon', 'trailer']"
Positive,"['doesnt', 'get', 'well', 'funny', 'couldnt', 'happen', 'nicer', 'bloke']"
Positive,"['kk', 'watch', 'lame', 'movie', 'ima', 'get', 'tomorrow', 'love', 'peace', 'bitch']"
Negative,"['actually', 'youre', 'probably', 'right']"
Positive,"['dont', 'get', 'arrest', 'swim', 'nude', 'im', 'alone', 'girlfriend', 'beach']"
Negative,"['look', 'like', 'bodyguard', 'faultlack', 'security']"
Negative,"['dig', 'long', 'retweet', 'though']"
Positive,"['aw', 'kitty', 'little', 'darling', 'demand', 'photo', 'demand', 'pleeeaasseee']"
Negative,"['u', 'people', 'shes', 'talk', 'go', 'time', 'see', 'doctor', 'get', 'helpdumb', 'asshats', 'grow', 'brainthats', 'u', 'getfrme']"
Negative,"['hey', 'girlie', 'long', 'time', 'chat']"
Negative,"['wow', 'exhaust', 'suddenly']"
Positive,"['noise', 'mean', 'go', 'sleep', 'earlier']"
Negative,"['aww', 'happen']"
Positive,"['u', 'love', 'twitter', 'timeline', 'always', 'litter', 'ur', 'crap']"
Negative,"['whereeeeeee', 'wanna', 'talk']"
Negative,"['nom', 'reiki']"
Negative,"['mm', 'im', 'hungry', 'food']"
Positive,"['dont', 'forget', 'coffee', 'lackey']"
Positive,"['hat', 'nu', 'stiu', 'la', 'zoologia', 'cireselor', 'da', 'cu', 'gustu', 'ai', 'dreptate', 'acrisoare']"
Negative,"['hear', 'ya', 'babe', 'totally', 'hear', 'ya']"
Positive,"['look', 'wonderful', 'matter', 'attire']"
Negative,"['second', 'cousin', 'st', 'party']"
Positive,"['hey', 'dude', 'laydying', 'blood', 'run', 'black', 'parkwaydrive', 'sound', 'good', 'within', 'hour', 'love']"
Negative,"['ya', 'ive', 'week', 'already', 'could', 'go', 'away', 'time']"
Positive,"['amp', 'boy', 'amaze']"
Negative,"['get', 'drunk', 'cant', 'get', 'end', 'night']"
Positive,"['family', 'place', 'think', 'summit', 'cant', 'wait', 'stay', 'colaborate', 'new', 'album']"
Negative,['hate']
Negative,"['farmer', 'mks', 'rt', 'official', 'city', 'say', 'city', 'operate', 'market', 'close', 'duration', 'strike']"
Positive,"['good', 'one']"
Positive,"['eh', 'alright', 'nowhere', 'near', 'quality', 'standard', 'keyboard', 'still', 'useful']"
Negative,"['couldve', 'take', 'class', 'ryan', 'feng', 'sadnessaw', 'well', 'ima', 'learn', 'mike', 'song', 'tony', 'tran', 'thassright', 'people']"
Negative,"['sorry', 'yaaaaa', 'job', 'call']"
Positive,"['yeahh', 'buhh', 'thaas', 'get', 'close', 'yanoee', 'left', 'probably', 'stayed', 'like', 'distant', 'contact', 'cuza', 'mandy']"
Negative,"['aww', 'epic', 'fail']"
